emitter,receiver,amount
0xD5337120,0xF22438DD,88.17
0xE6211D55,0xC19A823C,8.34
0xA22CD88E,0xE71AA2FE,15.60
0xC77A2EDA,0xD8C37210,60.22
0xB9128827,0xF3AD9017,91.44
0xA133D1B7,0xC017F02A,0.93
0xE822120C,0xB4F7126A,2.90
0xD510DA89,0xF622100E,37.71
0xA8C22038,0xC28190FA,56.29
0xC17E3399,0xD2157FE2,80.17
0xB7012264,0xE19A23E0,7.84
0xF31182DB,0xA97CD187,92.45
0xD19F21C8,0xB1337882,23.90
0xE89110F4,0xC1A2EA08,15.21
0xA541D2A2,0xD71F88BC,71.89
0xBC887621,0xF41DE1F4,3.70
0xC6F123AA,0xA37D11D2,28.62
0xB021CDF8,0xE62A3900,98.14
0xA91EE834,0xC55D8901,5.84
0xD6727C23,0xB71A00E2,8.91
0xF7C12277,0xD23718F8,21.37
0xE2A76100,0xAB7C3D11,19.16
0xA917D1E2,0xC7A88200,3.40
0xB6C31817,0xD6127144,55.88
0xC19EA212,0xE48D37C2,79.01
0xA731981D,0xC27EAA22,1.22
0xE8C72A18,0xF9171A20,60.77
0xD517CC88,0xB9D1333C,88.00
0xA31D10B2,0xC87E1111,44.60
0xF9331188,0xD1A8766A,34.41
0xB172D11F,0xE210A1EE,5.16
0xC87D3110,0xF179190D,75.12
0xA1221776,0xD4D999C1,93.81
0xE61982F9,0xC7120EA1,8.90
0xD4122999,0xA97F1214,47.55
0xF71D1032,0xB37C92ED,62.02
0xB1822117,0xD28A7610,39.94
0xC76F9199,0xE932AA88,23.28
0xA9122E18,0xF8823DA2,4.02
0xD6111007,0xB187C0AA,18.55
0xE71AC2F1,0xC39FAF22,72.44
0xA21D71E3,0xD99A3127,5.70
0xF8823911,0xC7120D9A,12.45
0xB7120F22,0xE81D733A,67.89
0xC991DA12,0xA72B8100,3.12
0xD128A773,0xF4129BC8,89.23
0xE71AA299,0xC8127D01,6.78
0xA88210D7,0xB712890A,45.67
0xF122D77C,0xD91A220E,31.09
0xC7120AA8,0xE9921001,14.88
0xB8912A00,0xA71D8922,7.66
0xD7128911,0xC992100A,92.34
0xE81D7710,0xB7128900,5.43
0xA9921001,0xF712890A,28.91
0xC7128900,0xD81D7710,63.22
0xB992100A,0xE7128901,9.17
0xF712890A,0xA9921001,41.55
0xD81D7710,0xC7128900,16.88
0xE7128901,0xB992100A,74.32
0xA9921001,0xF712890A,2.34
0xC7128900,0xD81D7710,55.67
0xB992100A,0xE7128901,88.91
0xF712890A,0xA9921001,3.77
0xD81D7710,0xC7128900,29.45
0xE7128901,0xB992100A,61.18
0xA9921001,0xF712890A,12.90
0xC7128900,0xD81D7710,47.23
0xB992100A,0xE7128901,34.56
0xF712890A,0xA9921001,8.12
0xD81D7710,0xC7128900,76.89
0xE7128901,0xB992100A,19.44
0xA9921001,0xF712890A,53.21
0xC7128900,0xD81D7710,4.67
0xB992100A,0xE7128901,91.03
0xF712890A,0xA9921001,22.78
0xD81D7710,0xC7128900,68.45
0xE7128901,0xB992100A,15.32
0xA9921001,0xF712890A,39.67
0xC7128900,0xD81D7710,7.89
0xB992100A,0xE7128901,84.12
0xF712890A,0xA9921001,30.56
0xD81D7710,0xC7128900,59.34
0xE7128901,0xB992100A,11.23
0xA9921001,0xF712890A,46.78
0xC7128900,0xD81D7710,2.45
0xB992100A,0xE7128901,97.66
0xF712890A,0xA9921001,17.89
0xD81D7710,0xC7128900,71.23
0xE7128901,0xB992100A,13.45
0xA9921001,0xF712890A,52.34
0xC7128900,0xD81D7710,6.78
0xB992100A,0xE7128901,89.01
0xF712890A,0xA9921001,25.67
0xD81D7710,0xC7128900,64.89
0xE7128901,0xB992100A,9.12
0xA9921001,0xF712890A,43.56
0xC7128900,0xD81D7710,1.23
0xB992100A,0xE7128901,95.78
0xF712890A,0xA9921001,20.45
0xD81D7710,0xC7128900,69.12
0xE7128901,0xB992100A,14.67
0xA9921001,0xF712890A,48.90
0xC7128900,0xD81D7710,5.34
0xB992100A,0xE7128901,86.45
0xF712890A,0xA9921001,28.12
0xD81D7710,0xC7128900,62.78
0xE7128901,0xB992100A,10.89
0xA9921001,0xF712890A,41.23
0xC7128900,0xD81D7710,3.56
0xB992100A,0xE7128901,92.67
0xF712890A,0xA9921001,23.45
0xD81D7710,0xC7128900,66.89
0xE7128901,0xB992100A,12.34
0xA9921001,0xF712890A,50.12
0xC7128900,0xD81D7710,4.78
0xB992100A,0xE7128901,88.90
0xF712890A,0xA9921001,26.56
0xD81D7710,0xC7128900,61.23
0xE7128901,0xB992100A,11.78
0xA9921001,0xF712890A,44.67
0xC7128900,0xD81D7710,2.89
0xB992100A,0xE7128901,94.12
0xF712890A,0xA9921001,21.34
0xD81D7710,0xC7128900,67.45
0xE7128901,0xB992100A,13.90
0xA9921001,0xF712890A,49.78
0xC7128900,0xD81D7710,5.12
0xB992100A,0xE7128901,87.23
0xF712890A,0xA9921001,24.67
0xD81D7710,0xC7128900,63.90
0xE7128901,0xB992100A,10.45
0xA9921001,0xF712890A,42.89
0xC7128900,0xD81D7710,3.78
0xB992100A,0xE7128901,91.56
0xF712890A,0xA9921001,22.12
0xD81D7710,0xC7128900,65.34
0xE7128901,0xB992100A,12.89
0xA9921001,0xF712890A,47.23
0xC7128900,0xD81D7710,4.45
0xB992100A,0xE7128901,89.78
0xF712890A,0xA9921001,25.90
0xD81D7710,0xC7128900,62.12
0xE7128901,0xB992100A,11.34
0xA9921001,0xF712890A,45.67
0xC7128900,0xD81D7710,2.12
0xB992100A,0xE7128901,93.45
0xF712890A,0xA9921001,20.78
0xD81D7710,0xC7128900,66.78
0xE7128901,0xB992100A,13.23
0xA9921001,0xF712890A,48.45
0xC7128900,0xD81D7710,5.67
0xB992100A,0xE7128901,88.12
0xF712890A,0xA9921001,27.34
0xD81D7710,0xC7128900,64.56
0xE7128901,0xB992100A,10.78
0xA9921001,0xF712890A,43.12
0xC7128900,0xD81D7710,3.34
0xB992100A,0xE7128901,92.89
0xF712890A,0xA9921001,23.78
0xD81D7710,0xC7128900,67.12
0xE7128901,0xB992100A,12.45
0xA9921001,0xF712890A,46.90
0xC7128900,0xD81D7710,4.78
0xB992100A,0xE7128901,90.23
0xF712890A,0xA9921001,26.12
0xD81D7710,0xC7128900,63.45
0xE7128901,0xB992100A,11.67
0xA9921001,0xF712890A,44.34
0xC7128900,0xD81D7710,2.56
0xB992100A,0xE7128901,94.78
0xF712890A,0xA9921001,21.90
0xD81D7710,0xC7128900,68.23
0xE7128901,0xB992100A,13.56
0xA9921001,0xF712890A,49.12
0xC7128900,0xD81D7710,5.90
0xB992100A,0xE7128901,87.45
0xF712890A,0xA9921001,28.67
0xD81D7710,0xC7128900,65.78
0xE7128901,0xB992100A,10.12
0xA9921001,0xF712890A,42.56
0xC7128900,0xD81D7710,3.90
0xB992100A,0xE7128901,91.23
0xF712890A,0xA9921001,24.45
0xD81D7710,0xC7128900,66.90
0xE7128901,0xB992100A,12.78
0xA9921001,0xF712890A,47.67
0xC7128900,0xD81D7710,4.12
0xB992100A,0xE7128901,89.34
0xF712890A,0xA9921001,25.23
0xD81D7710,0xC7128900,62.67
0xE7128901,0xB992100A,11.90
0xA9921001,0xF712890A,45.12
0xC7128900,0xD81D7710,2.78
0xB992100A,0xE7128901,93.67
0xF712890A,0xA9921001,22.45
0xD81D7710,0xC7128900,67.34
0xE7128901,0xB992100A,13.12
0xA9921001,0xF712890A,48.78
0xC7128900,0xD81D7710,5.45
0xB992100A,0xE7128901,88.56
0xF712890A,0xA9921001,26.78
0xD81D7710,0xC7128900,64.12
0xE7128901,0xB992100A,10.45
0xA9921001,0xF712890A,43.78
0xC7128900,0xD81D7710,3.12
0xB992100A,0xE7128901,92.12
0xF712890A,0xA9921001,23.56
0xD81D7710,0xC7128900,65.45
0xE7128901,0xB992100A,12.90
0xA9921001,0xF712890A,46.23
0xC7128900,0xD81D7710,4.56
0xB992100A,0xE7128901,90.78
0xF712890A,0xA9921001,27.12
0xD81D7710,0xC7128900,63.78
0xE7128901,0xB992100A,11.23
0xA9921001,0xF712890A,44.90
0xC7128900,0xD81D7710,2.34
0xB992100A,0xE7128901,94.45
0xF712890A,0xA9921001,20.67
0xD81D7710,0xC7128900,66.12
0xE7128901,0xB992100A,13.78
0xA9921001,0xF712890A,49.45
0xC7128900,0xD81D7710,5.23
0xB992100A,0xE7128901,87.90
0xF712890A,0xA9921001,28.34
0xD81D7710,0xC7128900,65.12
0xE7128901,0xB992100A,10.56
0xA9921001,0xF712890A,42.12
0xC7128900,0xD81D7710,3.67
0xB992100A,0xE7128901,91.78
0xF712890A,0xA9921001,24.12
0xD81D7710,0xC7128900,66.56
0xE7128901,0xB992100A,12.34
0xA9921001,0xF712890A,47.90
0xC7128900,0xD81D7710,4.90
0xB992100A,0xE7128901,89.12
0xF712890A,0xA9921001,25.56
0xD81D7710,0xC7128900,62.34
0xE7128901,0xB992100A,11.12
0xA9921001,0xF712890A,45.78
